Filename,Labels,Notes
CORNWALL_PP-10399356_20.007 - Carnebo Garage.Planning-06. Proposed elevations.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE','Proposed WE','Proposed SE','Proposed EE','Proposed NE']",
CORNWALL_PP-10564653_Polytunnel Elevations.pdf,,
CORNWALL_PP-11001401_112 113 114 115 116 elevations assisted living units.pdf,,
CORNWALL_PP-11002866_4140-02.pdf,"['Proposed GFL','Proposed 1FL','Proposed WE','Proposed SE','Proposed NE','Proposed SP']",
CORNWALL_PP-11002866_4140-03.pdf,"['Proposed GFL','Proposed 1FL','Proposed WE','Proposed EE','Proposed SE','Proposed NE','Proposed SP','Existing WE','Existing EE','Existing SE','Existing NE']",
CORNWALL_PP-11004013_230 Existing Elevations.pdf,"['Existing NE','Existing SE','Existing WE','Existing EE']",
CORNWALL_PP-11004013_330 Proposed Elevations.pdf,,
CORNWALL_PP-11005068_349-002 Building Survey.pdf,"['Proposed SWE','Proposed NWE','Proposed NEE','Proposed SEE','Proposed GFL']",
CORNWALL_PP-11005068_349-011 Plans and Elevations.pdf,"['Proposed SWE','Proposed NWE','Proposed NEE','Proposed SEE','Proposed GFL']",
CORNWALL_PP-11005494_21-168-EX01.pdf,"['Existing NE','Existing SE','Existing WE','Existing EE', 'Existing SDE']",
CORNWALL_PP-11005494_21-168-EX02.pdf,,
CORNWALL_PP-11005494_21-168-EX03.pdf,"['Existing GFL','Existing 1FL']",
CORNWALL_PP-11005494_21-168-EX04.pdf,"['Existing NE','Existing WE','Existing SE','Existing EE','Existing SDE']",
CORNWALL_PP-11005494_21-168-PL01.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11005494_21-168-PL02.pdf,"['Proposed NE','Proposed WE','Proposed EE','Proposed SE','Proposed SDE']",
CORNWALL_PP-11006776_060-A-03-010 - Existing Garage.pdf,"['Existing NE','Existing SE','Existing WE','Existing EE','Existing Section']",
CORNWALL_PP-11006776_060-A-03-020 - Existing Lodge Plans and Section.pdf,"['Existing GFL','Existing 1FL','Existing RP','Existing Section']",
CORNWALL_PP-11006776_060-A-03-030 - Existing Summer House Plans.pdf,"['Existing GFL', 'Existing RP', 'Existing Section'] ",
CORNWALL_PP-11006776_060-A-03-210 - Proposed Garage.pdf,"['Proposed SE','Proposed NE','Proposed EE','Proposed WE','Proposed Section']",
CORNWALL_PP-11006776_060-A-03-220 - Proposed Lodge Plans and Section.pdf,"['Proposed GFL','Proposed 1FL','Proposed RP','Proposed Section']",
CORNWALL_PP-11006776_060-A-03-230 - Proposed Summer House Plans.pdf,"['Proposed GFL','Proposed RP','Proposed Section']",
CORNWALL_PP-11006920_Porthilly shed.pdf,,
CORNWALL_PP-11007056_6224 PL05 - Existing Plans and Elevations.pdf,"['Existing NWE','Existing SEE','Existing NEE','Existing SWE','Existing GFL','Existing 1FL']",
CORNWALL_PP-11007518_10958-P212-Proposed Materials.pdf,"['Proposed EE','Proposed NE']",
CORNWALL_PP-11008369_4162-02.pdf,"['Proposed SWE','Proposed NEE','Proposed SEE','Proposed NWE','Proposed GFL','Proposed 1FL','Proposed 2FL','Proposed SP','Proposed LP','Proposed Section']",
CORNWALL_PP-11008867_1094-21-02_1094-21-00A 220201.pdf,"['Proposed NE','Proposed WE','Proposed EE','Proposed SE']",
CORNWALL_PP-11008867_1094-21-03_1094-21-00A 220201.pdf,"['Existing NE','Existing EE','Existing SE','Existing WE','Existing GFL','Existing 1FL','Existing SP']",
CORNWALL_PP-11008867_1094-21-04_1094-21-00A 220201.pdf,,
CORNWALL_PP-11008867_1094-21-06_1094-21-00A 220201.pdf,,
CORNWALL_PP-11010076_New Dwelling Warren S 1290PA sht 200 R1 20 01 2022.pdf,"['Proposed NWE','Proposed NEE','Proposed SE','Proposed SWE','Proposed SDE','Proposed FRE','Proposed RRE']",
CORNWALL_PP-11010182_Extension Cooper 1199NMA Sht 200 R1 A1 12 01 2022.pdf,"['Existing NE','Existing WE','Existing SE','Existing EE','Existing SDE','Existing FRE','Existing RRE','Proposed NE','Proposed WE','Proposed EE','Proposed SE','Proposed FRE','Proposed SDE','Proposed RRE']",
CORNWALL_PP-11010182_Extension Cooper 1199NMA Sht 400 R1 A1 12 01 2022.pdf,"['Existing GFL','Existing 1FL']",
CORNWALL_PP-11010182_Extension Cooper 1199NMA Sht 401 R1 A1 12 01 2022.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11010411_Remodel Parker 1206PA sht 100 R1 A2 26 01 2022.pdf,"['Existing BP','Proposed BP']",
CORNWALL_PP-11010411_Remodel Parker 1206PA sht 200 R1 A1 26 01 2021.pdf,"['Existing NEE','Existing NWE','Existing SEE','Existing SWE','Existing SDE','Existing FRE','Existing RRE','Proposed NEE','Proposed NWE','Proposed SEE','Proposed SWE','Proposed FRE','Proposed SDE','Proposed RRE']",
CORNWALL_PP-11010411_Remodel Parker 1206PA sht 201 R1 A1 26 01 2021.pdf,,
CORNWALL_PP-11010411_Remodel Parker 1206PA sht 300 R1 A2 26 01 2022.pdf,,
CORNWALL_PP-11010411_Remodel Parker 1206PA sht 400 R1 A1 26 01 2021.pdf,['Existing GFL'],
CORNWALL_PP-11010411_Remodel Parker 1206PA sht 401 R1 A1 26 01 2021.pdf,['Proposed GFL'],
CORNWALL_PP-11010411_Remodel Parker 1206PA sht 402 R1 A1 26 01 2021.pdf,['Proposed 1FL'],
CORNWALL_PP-11010526_Tuff Planning application Floor plans and Elevations v2015 v2020 v2021.pdf,"['Proposed SWE','Proposed SEE','Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11010993_21015 PL01.pdf,"['Proposed NEE','Proposed SEE','Proposed SWE','Proposed NWE','Proposed GFL','Proposed 1FL','Proposed 2FL','Proposed SP','Proposed LP']",
CORNWALL_PP-11012621_P382-22 Elevation Plans.pdf,,
CORNWALL_PP-11012888_2135 P 01.pdf,,
CORNWALL_PP-11015889_2201-03 Prop Shepherds Hut.PC9.pdf,"['Proposed WE','Proposed NE','Proposed SE','Proposed EE','Proposed GFL']",
CORNWALL_PP-11016533_03 - Elevations.pdf,"['Proposed SWE','Proposed SEE','Proposed NEE','Proposed NWE','Proposed Section']",
CORNWALL_PP-11018452_Newhams cross section_05022022.pdf,,
CORNWALL_PP-11018452_Newhams GE image PW3_05022022.pdf,,
CORNWALL_PP-11019097_A.534.12 Typical House Types Sheet 1.pdf,,
CORNWALL_PP-11019097_A.534.14 Typical House Types Sheet 4.pdf,,
CORNWALL_PP-11019097_A.534.15A Typical House Types Sheet 2.pdf,,
CORNWALL_PP-11019244_22-02-02.pdf,"['Existing EE','Existing SE','Existing WE','Existing SDE','Existing RRE','Existing GFL']","scanned image, rotated 90deg"
CORNWALL_PP-11019244_22-02-03.pdf,"['Proposed EE','Proposed SE','Proposed WE','Proposed SDE','Proposed RRE','Proposed GFL']",
CORNWALL_PP-11019244_22-02-04.pdf,,
CORNWALL_PP-11019244_22-02-05.pdf,['Proposed RP'],
CORNWALL_PP-11019526_20014 - PL Series PL-001.pdf,"['Proposed NE','Proposed FRE','Proposed SE','Proposed RRE','Proposed WE','Proposed EE','Proposed SDE','Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11020679_Tindall_2_2022_01_28_PLANNING_PL15_Proposed_Garage_Elevations.pdf,,
CORNWALL_PP-11021084_S 911-02A Existing Elevations - Marazion Meeting House.pdf,,
CORNWALL_PP-11021188_Proposals(b)-11C.pdf,"['Proposed NWE','Proposed NEE','Proposed SEE','Proposed SWE','Proposed Section','Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11021445_230 Existing Elevations.pdf,"['Existing NE','Existing SE','Existing WE']",
CORNWALL_PP-11021445_330 Proposed Elevations.pdf,,
CORNWALL_PP-11021445_340 Perspectives.pdf,,
CORNWALL_PP-11021848_1196-04 Store plan and elevations - Ex.pdf,,
CORNWALL_PP-11021848_1196-06 Elevations - Prop.pdf,,
CORNWALL_PP-11021848_1196-07 Plan - Bungalow and garage - Proposed.pdf,,
CORNWALL_PP-11021848_1196-08 Elevations - Outhouse - Prop.pdf,,
CORNWALL_PP-11021933_MixedCombinedPlans_included_in_SiteBlockPlanProposed.pdf,,
CORNWALL_PP-11023491_2022-107-100.pdf,"['Proposed WE','Proposed NE','Proposed SE','Proposed EE','Proposed GFL','Proposed RP']",
