Filename,Labels,Notes
CORNWALL_PP-10336776_Petroc elevation drawing and block plan 2022 .pdf,,scanned image
CORNWALL_PP-10386061_Meadowside 220208 7.pdf,['Existing EE'],
CORNWALL_PP-10576113_18 Beech Terrace - Sheet - 02000 - Existing Building Elevations.pdf,"['Existing SE','Existing NE']",
CORNWALL_PP-10581966_06  - Previously Approved Elevations.pdf,"['Approved NEE','Approved SEE']",
CORNWALL_PP-10581966_07  - Previously Approved Elevations.pdf,"['Approved NWE','Approved SWE']",
CORNWALL_PP-10585886_3807(EX)003 Existing Survey.pdf,"['Existing FRE','Existing Section']",
CORNWALL_PP-10589857_PL_004-TREVONE CRESCENT_PROPOSED ELEVATIONS.pdf,"['Proposed RRE','Proposed EE','Proposed FRE','Proposed WE','Proposed NE','Proposed SE']",
CORNWALL_PP-11000671_4 Inney View - Elevations Existing.pdf,"['Existing SDE','Existing FRE']",
CORNWALL_PP-11001653_BOUNDEN DRAWING 1.pdf,,scanned image
CORNWALL_PP-11002640_1271.04 ELEVATIONS - EXISTING.pdf,"['Existing NWE','Existing SWE','Existing SEE','Existing NEE']",
CORNWALL_PP-11003088_1267.05 B1_2 ELEVATIONS - EXISTING.pdf,"['Existing SE','Existing WE','Existing EE','Existing NE']",
CORNWALL_PP-11003088_1267.07 B3 ELEVATIONS - EXISTING.pdf,"['Existing NE','Existing WE','Existing EE','Existing SE']",
CORNWALL_PP-11004580_07  - Existing Elevations.pdf,"['Existing NWE','Existing NEE']",
CORNWALL_PP-11004580_08  - Existing Elevations.pdf,"['Existing SEE','Existing NEE','Existing SWE']",
CORNWALL_PP-11006776_060-A-05-001 - Existing Main House Elevations Sheet 1.pdf,"['Existing SE','Existing EE']",
CORNWALL_PP-11006776_060-A-05-020 - Existing Lodge Elevations.pdf,"['Existing SE','Existing EE','Existing NE','Existing WE']",
CORNWALL_PP-11006776_060-A-05-030 - Existing Summer House Elevations.pdf,"['Existing SE','Existing EE','Existing NE','Existing WE']",
CORNWALL_PP-11008124_0 - 10-Elevations.pdf,"['Existing SE','Existing EE','Existing WE']",
CORNWALL_PP-11008603_Demelza- Class Q Betterment - Sheet - A103 - Proposed Elevations.pdf,"['Proposed NE','Proposed FRE','Proposed WE','Proposed SDE','Proposed SE','Proposed RRE','Proposed EE']",
CORNWALL_PP-11010229_1142 A2 04 Elevations Existing 1.pdf,"['Existing SEE','Existing NEE']",
CORNWALL_PP-11010229_1142 A2 05 Elevations Existing 2.pdf,['Existing SWE'],
CORNWALL_PP-11011676_JOH3-P03 (-) Existing Section and Elevations - A3.pdf,"['Existing NEE','Existing FRE','Existing SWE','Existing RRE','Existing NWE','Existing SDE','Existing SEE','Existing Section']",
CORNWALL_PP-11012178_069_EL02 - Elevations - Existing.pdf,"['Existing SWE','Existing NEE','Existing NWE']",
CORNWALL_PP-11014024_Ex Elevations D Ord.pdf,"['Existing WE','Existing SE','Existing EE','Existing NE']",
CORNWALL_PP-11015806_1A9C398D-E78B-4578-AD7A-722A0253EEE5.jpeg,,
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-E-302 - Existing West Elevation.pdf,['Existing WE'],
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-FR-302 - Fabric Removal - West Elevation.pdf,,
CORNWALL_PP-11016565_Harbourmasters existing East elevation 5196_01.pdf,['Existing EE'],
CORNWALL_PP-11019168_Existing.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11019302_Planning Drawing-FE As Existing.pdf,['Existing EE'],
