Filename,Labels,Notes
CORNWALL_PP-10386061_Meadowside 220208 4.pdf,['Existing RP'],
CORNWALL_PP-10585886_3807(GA)007 Roof Plans.pdf,"['Existing RP','Proposed RP']",
CORNWALL_PP-11006776_060-A-03-003 - Existing Main House Roof Plan.pdf,['Existing RP'],
CORNWALL_PP-11009671_003.pdf,"['Existing RP','Existing Section']",
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-E-103 - Existing Roof Plan.pdf,['Existing RP'],
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-FR-101 - Fabric Removal - Roof Level.pdf,,
CORNWALL_PP-11029752_H14  - Existing House Roof Plan.pdf,['Existing RP'],
CORNWALL_PP-11033438_Pheasant Lodge - Existing Roof Plan.pdf,['Existing RP'],
CORNWALL_PP-11042530_TREWIDDEN 4 NOV 2021-A004-ROOF PLAN.pdf,,incomplete labels
EA_PP-11019713_EXISTING ROOF PLAN.pdf,['Existing RP'],
EA_PP-11025684_PN-05 - Roof Plan - Existing.pdf,['Existing RP'],
REDBRIDGE_PP-11010982_12 existing roof plan.pdf,['Existing RP'],
REDBRIDGE_PP-11014418_149 Wensleydale Avenue-PL004B.pdf,['Existing RP'],
REDBRIDGE_PP-11020496_05 EXISTING ROOF PLAN.pdf,['Existing RP'],
REDBRIDGE_PP-11035143_Existing Roof Plan.pdf,['Existing RP'],
STALBANS_PP-11000220_17- 32 Kimberley Road - St.Albans - Herts - AL3 5PX-Roof Plans as Exsiting and Proposed -.pdf,['Existing RP'],
STALBANS_PP-11025711_SUN_LANE_18-C200 PL02.pdf,['Existing RP'],
