Filename,Labels,Notes
CORNWALL_PP-10386061_Meadowside 220208 5.pdf,['Existing NE'],
CORNWALL_PP-11001653_BOUNDEN DRAWING 3.pdf,,"scanned image, hand drawn"
CORNWALL_PP-11006776_060-A-05-002 - Existing Main House Elevations Sheet 2.pdf,"['Existing NE','Existing WE']",
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-E-300 - Existing North Elevation.pdf,['Existing NE'],
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-FR-300 - Fabric Removal - North Elevation.pdf,,
CORNWALL_PP-11016565_Harbourmasters existing West elevation 5196_03.pdf,['Existing WE'],
CORNWALL_PP-11019302_Planning Drawing-RE As Existing.pdf,['Existing WE'],
CORNWALL_PP-11020679_PA21_06062-EXISTING_EAST_AND_NORTH_ELEVATIONS-5831631.pdf,,incomplete labels
CORNWALL_PP-11027351_21127-3-0005 - EXISTING ELEVATIONS - SHEET 2.pdf,"['Existing SEE','Existing NWE']",
CORNWALL_PP-11034260_1126-01-4002_Existing Elevations (2)_REV C.pdf,"['Existing NE','Existing EE']",
CORNWALL_PP-11035015_1198-04  East Elevation - Ex.pdf,,"scanned image, rotated 90deg"
DUDLEY_PP-11020409_HH-21-263-Feathers DY8 003 Elevations - Copy.pdf,"['Existing FRE','Existing RRE','Proposed FRE','Proposed RRE']",
EA_PP-10521664_Elevation(Rear)Existing_included_in_Elevation(Side)Existing.pdf,,
EA_PP-11002238_P3-EXISTING  ELEVATIONS   54 costons  ave uB6 8RN.pdf,"['Existing RRE','Existing SDE']",
EA_PP-11004382_19 Sandall Road W5 1HZ - Sheet - 2114-A-101 - Existing Elevations.pdf,"['Existing SE','Existing WE']",
EA_PP-11007034_201-REAR ELEVATION.pdf,['Existing RRE'],
EA_PP-11007048_EXISTING AND PROPOSED REAR ELEVATION PLANS EP-RELV-PL02.pdf,,"scanned image, rotated 90deg"
EA_PP-11009168_239.008_Ex_CC El_01 02 22.pdf,['Existing RRE'],
EA_PP-11010151_08 Existing Rear Elevation.pdf,['Existing RRE'],
EA_PP-11014047_10197A05002.pdf,"['Existing WE','Existing NE']",
EA_PP-11014066_10197PD5002.pdf,"['Existing WE','Existing NE']",
EA_PP-11019064_386 Church Rd_A22.pdf,,scanned image
EA_PP-11023746_02 - Existing and proposed Elevation Plans.pdf,,scanned image
EA_PP-11033105_104 existing elevation.pdf,['Existing RRE'],
EA_PP-11034320_91 Ealing Park Gardens - Existing - Sheet - EPG-R00-EX-105 - EXISTING ELEVATIONS.pdf,"['Existing FRE','Existing SDE']",
EA_PP-11037157_MA06RE.pdf,"['Existing RRE','Proposed RRE']",
EA_PP-11041707_8_REAR ELEVATION_EXISTING_50.pdf,['Existing RRE'],
EA_PP-11045821_31 St - Sheet - JA-R00-EX-104 - EXISTING ELEVATIONS.pdf,"['Existing SDE','Existing RRE']",
REDBRIDGE_PP-10422587_002 EXISTING ELEVATIONS.pdf,"['Existing RRE','Existing FRE','Existing SDE']",
REDBRIDGE_PP-11004883_20 GLOUCESTER ROAD E11 2ED Planning - Sheet - PL 111 - EXISTING ELEVATIONS.pdf,"['Existing EE','Existing NE']",
REDBRIDGE_PP-11012038_Te0318.21.pdf,['Existing RRE'],
REDBRIDGE_PP-11016276_3279 - 36 St Albans Crescent - PLANNING1-EX02 - Rear Elev.pdf,['Existing RRE'],
REDBRIDGE_PP-11032898_21.Revnone.pdf,,scanned image
REDBRIDGE_PP-11033273_86-E010_RearElevationExisting.pdf,['Existing RRE'],
REDBRIDGE_PP-11034974_AR1.3 Existing and Proposed East Elev.pdf,"['Existing EE','Proposed EE']",
REDBRIDGE_PP-11034974_AR1.4 Existing and Proposed South Elev.pdf,"['Existing SE','Proposed SE']",
REDBRIDGE_PP-11035143_Existing Rear Elevation.pdf,['Existing RRE'],
REDBRIDGE_PP-11036722_ELE (4).pdf,"['Existing SDE','Proposed SDE']",
REDBRIDGE_PP-11043937_Existing Rear Elevation 1.100 A3.pdf,['Existing RRE'],
SALFORD_PP-11015044_LP2113_3_111_Existing Elevations 2.pdf,"['Existing RRE','Existing SDE']",
SALFORD_PP-11034970_788 existing-02.pdf,['Existing RRE'],
SALFORD_PP-11035315_1023 - Rear  Elevations - 07.pdf,"['Existing RRE','Proposed RRE']",
STALBANS_PP-11000220_05 - 32 Kimberley Road - St.Albans - Herts - AL3 5PX - As Existing  - Rear Elevation.pdf,['Existing RRE'],
STALBANS_PP-11016569_13699_E06.pdf,['Existing RRE'],
STALBANS_PP-11019963_Existing Elevations.jpeg,,
STALBANS_PP-11032557_102_EX_03_P2_AS EXISTING elevations 2.pdf,"['Existing WE','Existing NE']",
