Filename,Labels,Notes
CORNWALL_PP-10386061_Meadowside 220208 6.pdf,['Existing EE'],
CORNWALL_PP-10386061_Meadowside 220208 8.pdf,['Existing WE'],
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-E-301 - Existing East Elevation.pdf,['Existing EE'],
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-FR-202 - Fabric Removal - East Elevation.pdf,,
CORNWALL_PP-11016565_Harbourmasters existing South elevation 5196_02.pdf,['Existing SE'],
CORNWALL_PP-11035068_TrewithenEstate-2021-final drawings 21-003C.PDF,,scanned image
CORNWALL_PP-11044353_Prospidnick Farm - Existing Elevations.pdf,,"scanned image, rotated 90deg"
DUDLEY_PP-11020409_HH-21-263-Feathers DY8 004 Elevations - Copy.pdf,['Existing SDE'],
DUDLEY_PP-11020409_HH-21-263-Feathers DY8 005 Elevations - Copy.pdf,['Existing SDE'],
EASTYORKSHIRE_PP-11002328_Side Elevation.pdf,,"scanned image, hand drawn"
EASTYORKSHIRE_PP-11027817_IMG_0434.jpeg,,
EASTYORKSHIRE_PP-11029937_PT364-PTA-00-ZZ-DR-A-000021_P1_Existing Side Elevations.pdf,"['Existing SDE','Existing NE','Existing SE']",
EA_PP-10521664_A706-PM02 - Existing Garden Side and Rear Elevations.pdf,"['Existing SDE','Existing RRE']",
EA_PP-10563089_SBH-PRP-CWF-ZZ-DR-A-1008.pdf,"['Existing WE','Existing EE']",
EA_PP-10577402_3010-Lyon Way-DR-202-Existing Elevations.pdf,"['Existing FRE','Existing RRE','Existing EE','Existing WE']",
EA_PP-11007048_EXISTING AND PROPOSED SIDE ELEVATION PLANS EP-SELV-PL03.pdf,,"scanned image, rotated 90deg"
EA_PP-11009168_239.009_Ex_DD El_01 02 22.pdf,,incomplete labels
EA_PP-11010151_09 Existing Side Elevation.pdf,['Existing SDE'],
EA_PP-11019064_386 Church Rd_A21.pdf,,scanned image
EA_PP-11045821_31 St - Sheet - JA-R00-EX-105 - EXISTING ELEVATIONS.pdf,"['Existing FRE','Existing SDE']",
PRESTON_PP-11035318_TT scale plan.JPG,,
REDBRIDGE_PP-10590180_07 EXG Elev side.pdf,,scanned image
REDBRIDGE_PP-11000926_Existing side Elevation 2.pdf,,scanned image
REDBRIDGE_PP-11000926_Existing side Elevation.pdf,,scanned image
REDBRIDGE_PP-11008133_PL-006.pdf,['Existing SDE'],
REDBRIDGE_PP-11010982_13 existing sections 1.pdf,"['Existing SE','Existing NE']",
REDBRIDGE_PP-11010982_23 proposed sections 1.pdf,"['Existing SE','Existing NE']",
REDBRIDGE_PP-11012038_Te0318.22.pdf,['Existing SDE'],
REDBRIDGE_PP-11016276_3279 - 36 St Albans Crescent - PLANNING1-EX03 - Side Elev.pdf,['Existing SDE'],
REDBRIDGE_PP-11016276_3279 - 36 St Albans Crescent - PLANNING1-EX04 - Side Elev (2).pdf,['Existing SDE'],
REDBRIDGE_PP-11019076_55-BC-303.pdf,['Existing SDE'],
REDBRIDGE_PP-11027789_2 Existing Elevations.pdf,"['Existing FRE','Existing SDE','Existing RRE']",
REDBRIDGE_PP-11030800_E03.pdf,['Existing SDE'],
REDBRIDGE_PP-11032898_22.Revnone.pdf,,scanned image
REDBRIDGE_PP-11035143_Existing Side Elevation.pdf,['Existing SDE'],
REDBRIDGE_PP-11043937_Existing Eastern Elevation 1.100.pdf,['Existing EE'],
REDBRIDGE_PP-11043937_Existing Western Elevation 1.100.pdf,['Existing WE'],
SALFORD_PP-11035315_1023 - Side Elevations - 05.pdf,"['Existing SDE','Proposed SDE']",
SALFORD_PP-11035315_1023 - Side Elevations - 06.pdf,"['Existing SDE','Proposed SDE']",
STALBANS_PP-11000220_04 - 32 Kimberley Road - St.Albans - Herts - AL3 5PX - As Existing  - Flank Elevation Left.pdf,['Existing SDE'],
STALBANS_PP-11000220_06 - 32 Kimberley Road - St.Albans - Herts - AL3 5PX - As Existing  - Flank Elevation Right.pdf,['Existing SDE'],
STALBANS_PP-11016569_13699_E05.pdf,['Existing SDE'],
STALBANS_PP-11025711_SUN_LANE_18-C200 PL04.pdf,['Existing SDE'],
