Filename,Labels,Notes
CORNWALL_PP-11004580_09  - Existing Sections A-A and B-B.pdf,['Existing Section'],
CORNWALL_PP-11006776_060-A-04-001 - Existing Main House Sections.pdf,['Existing Section'],
CORNWALL_PP-11008124_0 - 16-Section BB.pdf,['Existing Section'],
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-E-200 - Existing Section AA.pdf,['Existing Section'],
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-E-201 - Existing Section BB.pdf,['Existing Section'],
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-FR-200 - Fabric Removal - Section AA.pdf,,
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-FR-201 - Fabric Removal - Section BB.pdf,,
CORNWALL_PP-11031362_890.5 - Ex Site Sections - Pentire Road.pdf,['Existing Section'],
CORNWALL_PP-11033438_Pheasant Lodge - Proposed & Existing Sections.pdf,"['Existing Section','Existing RP','Proposed Section','Proposed RP']",
CORNWALL_PP-11042530_672-CDA-Z-XX-DR-A-05-0401-Existing-Sections.pdf,['Existing Section'],
EASTYORKSHIRE_PP-11029937_PT364-PTA-00-ZZ-DR-A-00010_P1_Existing Sections.pdf,['Existing Section'],
EA_PP-11000200_S070-21 - _EX01 (3).pdf,['Existing Section'],
EA_PP-11009168_239.005_Ex_AA Sec_31 01 22.pdf,['Existing Section'],
EA_PP-11009168_239.006_Ex_BB Sec_31 01 22.pdf,['Existing Section'],
EA_PP-11010151_06 Existing Section AA.pdf,['Existing Section'],
EA_PP-11019808_485 - A04_P2.pdf,"['Existing Section','Existing FRE','Existing RRE']",
REDBRIDGE_PP-10576807_210328-020_P1_Existing_Sections.pdf,['Existing Section'],
REDBRIDGE_PP-11000926_Existing section.pdf,,scanned image
REDBRIDGE_PP-11010982_15 existing sections 3.pdf,['Existing Section'],
REDBRIDGE_PP-11032898_30.Revnone.pdf,,scanned image
REDBRIDGE_PP-11033273_86-E011_ExistingSectionA-A.pdf,['Existing Section'],
SALFORD_PP-11030256_13 High Bank Road_Existing Section.pdf,['Existing Section'],
