Filename,Labels,Notes
CORNWALL_PP-10386061_Meadowside 220208 10.pdf,['Proposed 1FL'],
CORNWALL_PP-10386061_Meadowside 220208 9.pdf,['Proposed GFL'],
CORNWALL_PP-10399356_20.007 - Carnebo Garage.Planning-05. Proposed floor plans.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-10521321_Demelza Farm Higher Penwartha CLASS Q - Proposed Floor Plans.pdf,,scanned image
CORNWALL_PP-10522404_First Floor Plan Jan 2022. jpeg.jpeg,,
CORNWALL_PP-10522404_Ground Floor Plan Jan 2022 .jpeg,,
CORNWALL_PP-10547901_2006-014 B - Plans.pdf,['Proposed GFL'],
CORNWALL_PP-10564653_Polytunnel Floorplan.pdf,,incomplete labels
CORNWALL_PP-10581966_11  C Proposed Ground Floor Plan.pdf,['Proposed GFL'],
CORNWALL_PP-10581966_12  C Proposed First Floor Plan.pdf,['Proposed 1FL'],
CORNWALL_PP-10585886_3807(GA)005-P1 GA Plans.pdf,,
CORNWALL_PP-11000267_6 - 54 E-Floor Plans House 5 @ 1_100.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11000671_4 Inney View - Floor Plan Proposed.pdf,['Proposed GFL'],
CORNWALL_PP-11001401_103A 104 Care home floor plans.pdf,,scanned image
CORNWALL_PP-11001401_109A and 110 floor plans assisted living units.pdf,,scanned image
CORNWALL_PP-11001538_Drawing 03B.pdf,['Proposed GFL'],
CORNWALL_PP-11001538_Drawing 04B.pdf,['Proposed 1FL'],
CORNWALL_PP-11002640_1271.06 GROUND FLOOR PLAN LAYOUT - PROPOSED.pdf,['Proposed GFL'],
CORNWALL_PP-11002640_1271.07 FIRST FLOOR PLAN LAYOUT - PROPOSED.pdf,['Proposed 1FL'],
CORNWALL_PP-11003088_1267.09 B1 PLAN LAYOUTS - PROPOSED.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11003088_1267.10 B2 PLAN LAYOUTS - PROPOSED.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11004013_320 Proposed Floor Plans.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11004580_11  - Proposed Ground Floor Plan.pdf,['Proposed GFL'],
CORNWALL_PP-11004580_12  - Proposed First Floor Plan.pdf,['Proposed 1FL'],
CORNWALL_PP-11004580_13  - Proposed Loft Floor Plan.pdf,['Proposed Loft'],
CORNWALL_PP-11004580_14  - Proposed Garden_Garage Plan.pdf,,
CORNWALL_PP-11004665_2126-008 - Proposed Ground Floor.pdf,['Proposed GFL'],
CORNWALL_PP-11004665_2126-009 - Proposed First Floor.pdf,['Proposed 1FL'],
CORNWALL_PP-11006776_060-A-03-201 - Proposed Main House Ground Floor Plan.pdf,['Proposed GFL'],
CORNWALL_PP-11006776_060-A-03-202 - Proposed Main House First Floor Plan.pdf,['Proposed 1FL'],
CORNWALL_PP-11006890_003.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11007056_PL 02 1_100 Floor Plans.pdf,"['Proposed GFL','Proposed 1FL','Proposed RP','Proposed BaseP']",
CORNWALL_PP-11007518_10958-P200-Proposed Lower Ground Floor.pdf,['Proposed GFL'],
CORNWALL_PP-11007518_10958-P201-Proposed Ground Floor.pdf,['Proposed GFL'],
CORNWALL_PP-11008124_3 - 04 C-Floor Plans & Roof Plan 1_100.pdf,['Proposed GFL'],
CORNWALL_PP-11008603_Demelza- Class Q Betterment - Sheet - A102 - Proposed Floorplans.pdf,['Proposed GFL'],
CORNWALL_PP-11008867_1094-21-01_1094-21-00A 220201.pdf,,scanned image
CORNWALL_PP-11009553_2153_05_C_PLANNING.pdf,"['Proposed 2FL','Proposed BP']",
CORNWALL_PP-11009919_200-04 - Proposed Floor Plans REVA.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11010076_New Dwelling Warren S 1290PA sht 400 R1 20 01 2022.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11010476_Mawla cattle shed ext. floor plan.pdf,,"scanned image, hand drawn"
CORNWALL_PP-11011511_19068-3-0011 FLOOR PLAN.pdf,['Proposed GFL'],
CORNWALL_PP-11011676_JOH3-P05 (-) Proposed Ground Floor Plan - A3.pdf,['Proposed GFL'],
CORNWALL_PP-11012178_069_GA01_Rev B - Proposed Plans.pdf,,
CORNWALL_PP-11013448_Proposed Plans and Elevations.pdf,,"scanned image,hand drawn, rotated 90deg"
CORNWALL_PP-11013806_KA351 - D003A - Proposed Plans and Elevations.pdf,"['Proposed NWE','Proposed NEE','Proposed SEE','Proposed SWE','Proposed GFL','Proposed RP']",
CORNWALL_PP-11013989_Proposed Plans and Elevations 1 100 A2 8 Perhaven Way.pdf,"['Proposed NEE','Proposed SDE','Proposed NWE','Proposed RRE','Proposed SWE','Proposed RP','Proposed GFL']",
CORNWALL_PP-11014024_Prop Floor Plan D Ord.pdf,['Proposed 1FL'],
CORNWALL_PP-11014197_1101-WHB-MA-20-1003_P00 (Lower Ground Floor Plan as Proposed).pdf,['Proposed GFL'],
CORNWALL_PP-11014197_1101-WHB-MA-20-1004_P00 (Ground Floor Plan as Proposed).pdf,['Proposed GFL'],
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-P-100 - Proposed Ground Floor.pdf,['Proposed GFL'],
CORNWALL_PP-11016765_21002-115 - Proposed Plans - A3.pdf,"['Proposed 1FL','Proposed GFL','Proposed SP']",
CORNWALL_PP-11017520_Prop Plans G .pdf,"['Proposed 1FL','Proposed GFL','Proposed RP','Proposed NEE','Proposed NWE','Proposed SWE','Proposed SEE']",
CORNWALL_PP-11017578_Screech Owl Sanctuary - Fox Enclosure Project - Floor Plan.pdf,,"scanned image, hand drawn, rotated 90deg"
CORNWALL_PP-11018052_203 - 102.pdf,"['Proposed GFL','Proposed RP']",
CORNWALL_PP-11020498_220204 21058 PROPOSED DWELLING AND GARAGE-PL102 P1.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11020679_Tindall_2_2022_01_28_PLANNING_PL08_Proposed_Ground_Floor_Plan.pdf,,scanned image
CORNWALL_PP-11020679_Tindall_2_2022_01_28_PLANNING_PL09_Proposed_First_Floor_Plan.pdf,,scanned image
CORNWALL_PP-11020679_Tindall_2_2022_01_28_PLANNING_PL14_Proposed_Garage_Plans.pdf,,scanned image
CORNWALL_PP-11021445_320 Proposed Floor Plan.pdf,['Proposed GFL'],
CORNWALL_PP-11021494_004D.pdf,"['Proposed NEE','Proposed SEE','Proposed NWE','Proposed SWE','Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11021683_Sheet A1 01 Rev A Proposed Floor Plans 30 12 21.pdf,,scanned image
CORNWALL_PP-11021848_1196-05 Bungalow plan - Prop.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11022038_DA067-PL-01-01  HOLMES PROPOSED FLOOR PLANS.pdf,"['Proposed GFL','Proposed 1FL','Proposed RP']",
CORNWALL_PP-11023856_PROPOSED PLAN 5.2.22.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11024105_P425-08.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11024423_PL-002-P1-PropPlans.pdf,,scanned image
CORNWALL_PP-11024840_003 -Ground Floor Plan.pdf,['Proposed GFL'],
CORNWALL_PP-11024840_004- First Floor Plan.pdf,['Proposed 1FL'],
CORNWALL_PP-11026108_200_04 Existing and Proposed Materials.pdf,,incomplete labels
CORNWALL_PP-11026853_plot 1 - plans -amended design.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11026853_plot 2 - plans - amended design.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11027323_Hurlingbarrow - GA02 D - Proposed Floor Plans.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11027351_21127-3-0007 -  PROPOSED PART FLOOR PLAN.pdf,['Proposed GFL'],
CORNWALL_PP-11027449_PROPOSALS GROUND FLOOR (11).pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11027497_PROPOSALS FIRST FLOOR PLAN (12).pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11027497_PROPOSALS GROUND FLOOR (11).pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11027853_21.017 - 48 Tregease Rd.Planning-06. Proposed floor plans.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11029005_Proposed Plan at 1-50.pdf,,incomplete labels
CORNWALL_PP-11029752_H35  A Proposed Storage Shed Floor Plan.pdf,['Proposed GFL'],
CORNWALL_PP-11030819_Dwg no 1081-03B.pdf,,"scanned image, hand drawn, rotated 90deg"
CORNWALL_PP-11031196_P.09 PROPOSED OUTBUILDING  PLAN.pdf,,
CORNWALL_PP-11031362_890.7 - Prop LG plan - Pentire Road.pdf,['Proposed GFL'],
CORNWALL_PP-11031362_890.8 - Prop UG plan - Pentire Road.pdf,,incomplete labels
CORNWALL_PP-11031440_16444279490101148196362283856482.jpg,,
CORNWALL_PP-11032043_330 Proposed Floor Plans.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11033041_PA17_03026-832_03_0202-P2_Proposed_Shed_Outbuilding_Plan-3410953.pdf,,
CORNWALL_PP-11033409_1996_07A Proposed Ground Floor Plan.pdf,['Proposed GFL'],
CORNWALL_PP-11033409_1996_08A Proposed First Floor Plan.pdf,['Proposed 1FL'],
CORNWALL_PP-11033438_Pheasant Lodge - Proposed Plans.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11033532_1802 3 0102G Plans Level 0.pdf,['Proposed GFL'],
CORNWALL_PP-11033532_1802 3 0103G Plans Level 1 .pdf,['Proposed 1FL'],
CORNWALL_PP-11033532_1802 3 0105A Plans Roof Plan.pdf,['Proposed RP'],
CORNWALL_PP-11033821_1444B_06A Proposed Ground Floor Plan.pdf,['Proposed GFL'],
CORNWALL_PP-11033821_1444B_07A Proposed Loft Plan.pdf,['Proposed Loft'],
CORNWALL_PP-11034232_21005 - PL01-01 - Proposed Floor Plans.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11034871_1916_06L Proposed Ground Floor Plan.pdf,['Proposed GFL'],
CORNWALL_PP-11034871_1916_07K Proposed First Floor Plan.pdf,['Proposed 1FL'],
CORNWALL_PP-11035015_1198-06 Rev A  Ground floor plan Prop.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11035015_1198-07  Rev A  First floor plan - Prop.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11035015_1198-08 Rev A Second floor - Prop.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11035299_4 Alexandra Court-PROPOSED-REV A.pdf,"['Proposed GFL','Proposed NWE','Proposed SWE','Proposed SEE','Proposed NEE']",
CORNWALL_PP-11035570_2117_P_004 Proposed Ground Floor Plan.pdf,['Proposed GFL'],
CORNWALL_PP-11035570_2117_P_005 Proposed First Floor Plan.pdf,['Proposed 1FL'],
CORNWALL_PP-11035570_2117_P_006 Proposed Second Floor Plan.pdf,['Proposed 2FL'],
CORNWALL_PP-11035669_21478-PL-01-02   STOREY PROPOSED FLOOR PLAN.pdf,['Proposed GFL'],
CORNWALL_PP-11035687_21.020 - 43 Arundel Way.Planning-07. Proposed floor plans.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11036970_190052-85B Proposed Floor Plan and Elevations.pdf,"['Proposed Section','Proposed SE','Proposed EE','Proposed NE','Proposed GFL']",
CORNWALL_PP-11040584_21009.3.010_Proposed Ground Floor Plan.pdf,['Proposed GFL'],
CORNWALL_PP-11040584_21009.3.011_Proposed First Floor Plan.pdf,['Proposed 1FL'],
CORNWALL_PP-11041668_Prop Plan.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11042212_Brind Prop Plans 10-2-22.pdf,,"scanned image, rotated 90deg, hand drawn"
CORNWALL_PP-11042530_672-CDA-Z-00-DR-A-05-0103-Proposed-GF.pdf,['Proposed GFL'],
CORNWALL_PP-11044258_P433-05.pdf,"['Proposed GFL','Proposed 1FL']",
CORNWALL_PP-11044353_Prospidnick Farm - Proposed Floor Plan.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11045739_1F 1-100.pdf,['Proposed 1FL'],
CORNWALL_PP-11045739_GF 1-100.pdf,['Proposed GFL'],
DUDLEY_PP-10551607_Di3-ATK-XX-00-DR-AR-011105_P1 - Lower Concourse Plan.pdf,,
DUDLEY_PP-10551607_Di3-ATK-XX-01-DR-AR-011106_P1 - Upper Concourse Plan GA.pdf,,
DUDLEY_PP-10572018_Floor Plan 1.pdf,,
DUDLEY_PP-11003849_02-Floor Plans-PLOTS 1-3.pdf,"['Proposed NEE','Proposed SEE','Proposed SWE','Proposed NWE','Proposed BaseP','Proposed GFL','Proposed 1FL','Proposed RP']",
DUDLEY_PP-11003849_04-Floor Plans-PLOT 4.pdf,"['Proposed EE','Proposed SE','Proposed WE','Proposed NE','Proposed BaseP','Proposed GFL','Proposed 1FL','Proposed Loft','Proposed RP']",
DUDLEY_PP-11005779_02p proposed Plan.pdf,,
DUDLEY_PP-11006726_JD_BR_P04.pdf,['Proposed GFL'],
DUDLEY_PP-11006726_JD_BR_P05.pdf,['Proposed 1FL'],
DUDLEY_PP-11012335_Bank St Variation of Condition 701E.pdf,,scanned image
DUDLEY_PP-11014901_DUDLEY-FF.pdf,['Proposed 1FL'],
DUDLEY_PP-11014901_DUDLEY-TF.pdf,['Proposed 3FL'],
DUDLEY_PP-11019979_CC7F8CC1-AA12-4DF2-BF40-7FAFB1E95F38.jpeg,,
DUDLEY_PP-11020409_HH-21-263-Feathers DY8 002 Floor Plan - Copy.pdf,"['Existing GFL','Proposed GFL']",
DUDLEY_PP-11021016_4 Norton Close Proposed 002.pdf,,scanned image
DUDLEY_PP-11021185_205-0120-06C-2022.02.07-Proposed Plans 11-15-1 of 2-A0.pdf,['Proposed GFL'],
DUDLEY_PP-11021185_205-0120-07C-2022.02.07-Proposed Plans 15-17-2 of 2-A0.pdf,['Proposed GFL'],
DUDLEY_PP-11025008_36SGR.002-2022.pdf,,scanned image
DUDLEY_PP-11026959_50087 - 01 - 04 Proposed Plans And Elevations.pdf,"['Proposed GFL','Proposed 1FL','Proposed FRE','Proposed SDE','Proposed RRE']",
DUDLEY_PP-11039721_22-521-P04 PROPOSED FLOOR PLANS.pdf,"['Proposed GFL','Proposed 1FL']",
