Filename,Labels,Notes
CORNWALL_PP-10069645_17 Eglos View.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-10386061_Meadowside 220208 14.pdf,['Proposed SE'],
CORNWALL_PP-10576113_18 Beech Terrace - Sheet - 02001 - Proposed Building Elevations.pdf,"['Proposed EE','Proposed WE','Proposed SE','Proposed NE']",
CORNWALL_PP-10581966_13  D Proposed Elevations.pdf,"['Proposed NEE','Proposed SEE']",
CORNWALL_PP-10581966_14  D Proposed Elevations.pdf,"['Proposed NWE','Proposed SWE']",
CORNWALL_PP-10585886_3807(GA)006-P1 Elev and Section.pdf,,incomplete labels
CORNWALL_PP-11000267_6 - 50 F-House 5 Elevations.pdf,"['Proposed NWE','Proposed NEE','Proposed SEE','Proposed SWE']",
CORNWALL_PP-11000267_6 - 59 D-Site Elevation Internal Lane.pdf,['Proposed WE'],
CORNWALL_PP-11000671_4 Inney View - Elevations Proposed.pdf,"['Proposed SDE','Proposed FRE']",
CORNWALL_PP-11001401_105 elevations and cross section care home.pdf,,scanned image
CORNWALL_PP-11001401_111 elevations care home.pdf,,scanned image
CORNWALL_PP-11001538_Drawing 10B.pdf,"['Proposed SDE','Proposed SE']",
CORNWALL_PP-11001653_BOUNDEN DRAWING 2.pdf,,"scanned image, hand drawn"
CORNWALL_PP-11002259_203-PL-101 ELEVATIONS.pdf,"['Proposed NEE','Proposed SEE']",
CORNWALL_PP-11002640_1271.08 ELEVATIONS - PROPOSED.pdf,"['Proposed NWE','Proposed SEE']",
CORNWALL_PP-11003088_1267.11 B1_2 ELEVATIONS - PROPOSED.pdf,"['Proposed SE','Proposed WE','Proposed EE','Proposed NE']",
CORNWALL_PP-11003088_1267.13 B3 ELEVATIONS - PROPOSED.pdf,"['Proposed NE','Proposed WE','Proposed EE','Proposed SE']",
CORNWALL_PP-11004580_15  - Proposed Elevations.pdf,"['Proposed NWE','Proposed NEE']",
CORNWALL_PP-11004580_16  - Proposed Elevations.pdf,"['Proposed SEE','Proposed SWE']",
CORNWALL_PP-11004580_17  - Proposed Garden_Garage Elevations.pdf,"['Proposed SEE','Proposed NEE']",
CORNWALL_PP-11005266_SJMH Fencing.jpg,,
CORNWALL_PP-11006776_060-A-05-201 - Proposed Main House Elevations Sheet 1.pdf,"['Proposed SE','Proposed EE']",
CORNWALL_PP-11006776_060-A-05-220 - Proposed Lodge Elevations.pdf,"['Proposed SE','Proposed EE','Proposed NE','Proposed WE']",
CORNWALL_PP-11006776_060-A-05-230 - Proposed Summer House Elevations.pdf,"['Proposed SE','Proposed EE','Proposed NE','Proposed WE']",
CORNWALL_PP-11006890_004A.pdf,"['Proposed NE','Proposed EE','Proposed SE','Proposed WE','Proposed RP']",
CORNWALL_PP-11007056_PL 03 1_100 Elevations and Sections.pdf,,scanned image
CORNWALL_PP-11007518_10958-P210-Proposed Elevations 1.pdf,"['Proposed EE','Proposed SE']",
CORNWALL_PP-11008124_3 - 11 C-East Elevation.pdf,['Proposed EE'],
CORNWALL_PP-11009553_2153_06_C_PLANNING.pdf,"['Proposed NEE','Proposed SWE','Proposed NWE','Proposed SEE']",
CORNWALL_PP-11009919_200-05A - Proposed Elevations REVA.pdf,"['Proposed EE','Proposed NE','Proposed WE','Proposed SE']",
CORNWALL_PP-11010476_Mawla cattle shed ext. elevations.pdf,,"scanned image, hand drawn"
CORNWALL_PP-11011676_JOH3-P06 (-) Proposed Section and Elevations - A3.pdf,"['Proposed NEE','Proposed NWE','Proposed SWE','Proposed SEE','Proposed FRE','Proposed SDE','Proposed RRE']",
CORNWALL_PP-11012178_069_EL01_Rev B - Elevations - Proposed.pdf,"['Proposed SWE','Proposed NEE','Proposed NWE']",
CORNWALL_PP-11014024_Prop Elevations D Ord.pdf,"['Proposed WE','Proposed EE','Proposed SE','Proposed NE']",
CORNWALL_PP-11015045_Proposed Elevation Drawings_General Purpose Agricultural Building.pdf,,incomplete labels
CORNWALL_PP-11015405_DRG 3 Shed Front and Side Elevation .jpg,,
CORNWALL_PP-11015788_image0.jpeg,,
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-P-302 - Proposed West Elevation.pdf,['Proposed WE'],
CORNWALL_PP-11016565_Harbourmasters proposed East elevation 5196_04.pdf,['Proposed EE'],
CORNWALL_PP-11017578_Screech Owl Sanctuary - Fox Enclosure Project - South Elevation.pdf,,"scanned image, rotated 90deg, hand drawn"
CORNWALL_PP-11018052_203 - 104.pdf,"['Proposed NE','Proposed EE','Proposed FRE']",
CORNWALL_PP-11019168_Proposed.pdf,,"scanned image, rotated 90deg, hand drawn"
CORNWALL_PP-11019302_Planning Drawing-FE As Proposed.pdf,['Proposed EE'],
CORNWALL_PP-11020498_220204 21058 PROPOSED DWELLING AND GARAGE-PL103 P1.pdf,"['Proposed WE','Proposed SE','Proposed EE','Proposed NE']",
CORNWALL_PP-11020679_Tindall_2_2022_02_02_PLANNING_PL11_A_Proposed West Elevation.pdf,,scanned image
CORNWALL_PP-11020967_80785 PROPOSED.pdf,,scanned image
CORNWALL_PP-11022038_DA067-PL-02-02  HOLMES PROPOSED ELEVATIONS.pdf,"['Proposed EE','Proposed NE','Proposed WE']",
CORNWALL_PP-11023856_PROPOSED ELEVATION 5.2.22.pdf,"['Proposed WE','Proposed SE','Proposed EE','Proposed NE']",
CORNWALL_PP-11024423_PL-003-P1-PropElevations.pdf,"['Proposed NE','Proposed EE','Proposed WE']",
CORNWALL_PP-11024840_005-North & South Elevation.pdf,"['Proposed NE','Proposed SE']",
CORNWALL_PP-11025243_J22.002 Burrows Farm AD.22 Rev B South Elevation (A3).pdf,,incomplete labels
CORNWALL_PP-11026838_Proposed Plans and Elevations.pdf,,scanned image
CORNWALL_PP-11026853_plot1 - elevations amended design.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE','Proposed NE','Proposed SE','Proposed EE','Proposed WE']",
CORNWALL_PP-11026853_plot2 - elevations amended design.pdf,"['Proposed FRE','Proposed RRE','Proposed SDE','Proposed NE','Proposed SE','Proposed EE','Proposed WE']",
CORNWALL_PP-11026874_0000-HF-000-00-DR-BC-0002.pdf,,incomplete labels
CORNWALL_PP-11027351_21127-3-0008 - PROPOSED ELEVATIONS - SHEET 1.pdf,"['Proposed NEE','Proposed SWE']",
CORNWALL_PP-11029752_H32  A Proposed House Elevations.pdf,"['Proposed NE','Proposed EE']",
CORNWALL_PP-11029752_H33  A Proposed House Elevations.pdf,"['Proposed SE','Proposed WE','Proposed Section']",
CORNWALL_PP-11029752_H34  B Proposed Storage Building Elevations.pdf,"['Proposed NE','Proposed EE','Proposed WE','Proposed SE']",
CORNWALL_PP-11030076_596503-3.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11030076_596503-4.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11030076_596503-5.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11030479_GlenhavenPlan.pdf,,scanned image
CORNWALL_PP-11030795_021-06-105 Proposed Elevations.pdf,"['Proposed FRE','Proposed SDE','Proposed RRE']",
CORNWALL_PP-11030822_Planning-Proposed.pdf,"['Proposed FRE','Proposed SDE','Proposed GFL']",
CORNWALL_PP-11031196_P.11 PROPOSED ELEVATIONS - OUTBUILDING.pdf,"['Proposed SEE','Proposed SWE','Proposed NWE','Proposed NEE']",
CORNWALL_PP-11031362_890.10 - Prop Elevations - Pentire Road.pdf,,"scanned image, hand drawn"
CORNWALL_PP-11031433_AS-1758_0113-CHQ-Z07-GF-PL-A-2005 - Proposed Elevations.pdf,"['Proposed NE','Proposed WE','Proposed EE','Proposed SE']",
CORNWALL_PP-11031433_AS-1758_0113-CHQ-Z07-GF-PL-A-2006 - Click and Collect.pdf,,
