Filename,Labels,Notes
CORNWALL_PP-10386061_Meadowside 220208 11.pdf,['Proposed 1FL'],
CORNWALL_PP-11000267_6 - 57 F-Roof Plan House 5 @ 1_100.pdf,['Proposed RP'],
CORNWALL_PP-11000671_4 Inney View - Roof Plan.pdf,"['Existing RP','Proposed RP']",
CORNWALL_PP-11006776_060-A-03-203 - Proposed Main House Roof Plan.pdf,['Proposed RP'],
CORNWALL_PP-11009671_005.pdf,"['Proposed RP','Proposed Section']",
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-P-103 - Proposed Roof Plan.pdf,['Proposed RP'],
CORNWALL_PP-11017058_J142-01-05 - Roof Plan Existing and Proposed.pdf,"['Existing RP','Proposed RP']",
CORNWALL_PP-11020679_Tindall_2_2022_01_28_PLANNING_PL07_A_Roof_Plan.pdf,,scanned image
CORNWALL_PP-11021494_005A.pdf,"['Proposed RP','Proposed Section']",
CORNWALL_PP-11026994_003.pdf,"['Proposed RP','Proposed Section']",
CORNWALL_PP-11029752_H31  A Proposed House Roof Plan.pdf,['Proposed RP'],
CORNWALL_PP-11033438_Pheasant Lodge - Proposed Roof Plan.pdf,['Existing RP'],
DUDLEY_PP-10551607_Di3-ATK-XX-RF-DR-AR-011107_P1 - Roof Plan GA.pdf,,
EASTYORKSHIRE_PP-10517485_210120 106P4 - Roof Plans 2.pdf,"['Existing RP','Proposed RP']",
EA_PP-10577402_3010-Lyon Way-DR-201-Existing and Proposed Roof Plan.pdf,"['Existing RP','Proposed RP']",
EA_PP-11015962_2102 TP009 Proposed Roof Plan A3.pdf,['Proposed RP'],
EA_PP-11019713_PROPOSED ROOF PLAN.pdf,['Proposed RP'],
EA_PP-11025684_PN-010 - Roof Plan - Proposed.pdf,['Proposed RP'],
REDBRIDGE_PP-11000926_A1.140- Proposed Roof Plan .pdf,['Proposed RP'],
REDBRIDGE_PP-11003878_102-EXISTING AND PROPOSED ROOF PLANS.pdf,,scanned image
REDBRIDGE_PP-11008629_B.pdf,"['Existing RP','Proposed RP']",
REDBRIDGE_PP-11010366_006 EXISTING AND PROPOSED ROOF PLANS.pdf,"['Existing RP','Proposed RP']",
REDBRIDGE_PP-11010982_22 proposed roof plan.pdf,['Proposed RP'],
REDBRIDGE_PP-11011615_DWG 4 - 02-02-2022-4-PLANNING ROOF PLAN (9 Grace Close).pdf,"['Existing RP','Proposed RP']",
REDBRIDGE_PP-11014418_149 Wensleydale Avenue-PL007B.pdf,['Proposed RP'],
REDBRIDGE_PP-11015163_3 ROOF PLAN.pdf,"['Existing RP','Proposed RP']",
REDBRIDGE_PP-11020496_06 PROPOSED ROOF PLAN.pdf,['Proposed RP'],
REDBRIDGE_PP-11022818v1_032C-VA-213-Rev 04.pdf,,incomplete labels
REDBRIDGE_PP-11022818_032C-VA-213-Rev 04.pdf,,incomplete labels
REDBRIDGE_PP-11025967v1_202-EXISTING AND PROPOSED ROOF PLANS.pdf,,scanned image
REDBRIDGE_PP-11025967_202-EXISTING AND PROPOSED ROOF PLANS.pdf,,scanned image
REDBRIDGE_PP-11026575_HH 37 Albans Proposed Floor Plans.pdf,"['Proposed GFL','Proposed 1FL','Proposed Loft','Proposed RP']",
REDBRIDGE_PP-11033256_116 Goodmayes lane roof plans.pdf,,scanned image
REDBRIDGE_PP-11035143_Proposed Roof Plan.pdf,['Proposed RP'],
REDBRIDGE_PP-11036722_Roof Plan.pdf,"['Existing RP','Proposed RP']",
REDBRIDGE_PP-11037433_PC-IG26DN-021-DWG-005-P02-PROPOSED OUTBUILDING ROOF PLAN.pdf,['Proposed RP'],
REDBRIDGE_PP-11040309_191 Horns Rd-Existing And Proposed Loft-Roof Plan.pdf,"['Existing Loft','Existing RP','Proposed Loft','Proposed RP']",
STALBANS_PP-11004347_1 OAKWOOD DRIVE_PL05.pdf,"['Proposed Loft','Proposed RP']",
STALBANS_PP-11025711_SUN_LANE_18-C200 PL06.pdf,['Proposed RP'],
