Filename,Labels,Notes,
CORNWALL_PP-10386061_Meadowside 220208 12.pdf,['Proposed NE'],,
CORNWALL_PP-11001653_BOUNDEN DRAWING 4.pdf,,"scanned image, hand drawn",
CORNWALL_PP-11002259_203-PL-102 ELEVATION - SECTION.pdf,"['Proposed SEE','Proposed Section']",,
CORNWALL_PP-11006776_060-A-05-202 - Proposed Main House Elevations Sheet 2.pdf,"['Proposed NE','Proposed WE']",,
CORNWALL_PP-11007518_10958-P211-Proposed Elevations 2.pdf,"['Proposed NE','Proposed WE']",,
CORNWALL_PP-11008396_81949.pdf,,scanned image,
CORNWALL_PP-11015405_DRG 4 Shed Side and Rear Elevation .jpg,,,
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-P-300 - Proposed North Elevation.pdf,['Proposed NE'],,
CORNWALL_PP-11016565_Harbourmasters proposed West elevation 5196_06.pdf,['Proposed WE'],,
CORNWALL_PP-11016921_extension 23 cedar drive.pdf,,"scanned image, hand drawn",
CORNWALL_PP-11017578_Screech Owl Sanctuary - Fox Enclosure Project - North Elevation.pdf,,"scanned image, hand drawn, rotated 90deg",
CORNWALL_PP-11018052_203 - 103.pdf,"['Proposed RRE','Proposed SDE']",,
CORNWALL_PP-11019302_Planning Drawing-RE As Proposed.pdf,['Proposed WE'],,
CORNWALL_PP-11020679_Tindall_2_2022_02_02_PLANNING_PL10_A_Proposed East Elevation.pdf,,scanned image,
CORNWALL_PP-11021683_Sheet A1 02 Rev A Proposed Elevations 30 12 21.pdf,,"scanned image, rotated 90deg",
CORNWALL_PP-11025243_J22.002 Burrows Farm AD.23 Rev B North Elevation (A3).pdf,,incomplete labels,
CORNWALL_PP-11027323_Hurlingbarrow - EL01 - Proposed Elevations.pdf,,scanned image,
CORNWALL_PP-11027351_21127-3-0009 - PROPOSED ELEVATIONS - SHEET 2.pdf,"['Proposed SEE','Proposed NWE']",,
CORNWALL_PP-11030819_Dwg no 1399 - 04C.pdf,,"scanned image, hand drawn",
CORNWALL_PP-11033532_1802 3 0304E Elevation NE - Proposed.pdf,['Proposed NEE'],,
