Filename,Labels,Notes
CORNWALL_PP-11000267_6 - 60-House 5 Site Section LL.pdf,['Proposed Section'],
CORNWALL_PP-11001538_Drawing 07B.pdf,['Proposed Section'],
CORNWALL_PP-11004580_18  - Proposed Sections A-A and B-B.pdf,['Proposed Section'],
CORNWALL_PP-11006776_060-A-04-201 - Proposed Main House Sections.pdf,['Proposed Section'],
CORNWALL_PP-11008124_3 - 16 C-Section BB.pdf,['Proposed Section'],
CORNWALL_PP-11008396_80329.pdf,,scanned image
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-P-200 - Proposed Section AA.pdf,['Proposed Section'],
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-P-201 - Proposed Section CC.pdf,['Proposed Section'],
CORNWALL_PP-11016127_142_60b Glasney Place Cornwall_220211 - Sheet - PL-P-202 - Proposed Section BB.pdf,['Proposed Section'],
CORNWALL_PP-11019097_A.534.02 Street Elevation & Sections.pdf,,incomplete labels
CORNWALL_PP-11020967_81973.pdf,,scanned image
CORNWALL_PP-11020967_81976 ATS BOX SECTION.pdf,,scanned image
CORNWALL_PP-11026874_0000-HF-000-00-DR-BC-0003.pdf,,incomplete labels
CORNWALL_PP-11027446_Sections A - A, B - B  Drawing.pdf,incomplete labels
CORNWALL_PP-11031362_890.11 - Prop Sections - Pentire Road.pdf,['Proposed Section'],
CORNWALL_PP-11035015_1198-05 Rev A  Section through proposed extension.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11035513_TR01-21-08PL.pdf,,"scanned image, rotated 90deg"
CORNWALL_PP-11035570_2117_P_010 Proposed Site Sections 01.pdf,['Proposed Section'],
CORNWALL_PP-11042530_672-CDA-Z-XX-DR-A-05-0402-Proposed-Sections.pdf,['Proposed Section'],
DUDLEY_PP-10551607_Di3-ATK-XX-ZZ-DR-AR-013110_P1 - Building Sections.pdf,,incomplete labels
DUDLEY_PP-10551607_Di3-ATK-XX-ZZ-DR-AR-023109_P1 - Site Sections.pdf,,incomplete labels
DUDLEY_PP-11003849_03-SECTION-PLOTS 1-3-revH.pdf,"['Proposed Section','Proposed BaseP','Proposed GFL','Proposed 1FL']",
DUDLEY_PP-11003849_05-SECTION-PLOTS 4-revH.pdf,"['Proposed Section','Proposed BaseP','Proposed GFL','Proposed 1FL']",
DUDLEY_PP-9397052_Section through footings 125 Whitegates Road.pdf,,"scanned image, rotated 90deg, hand drawn"
EASTYORKSHIRE_PP-10538483_(100)-04 -P1 - Proposed Cross Section A - A.pdf,['Proposed Section'],
EASTYORKSHIRE_PP-11029937_PT364-PTA-00-ZZ-DR-A-00110_P4_Proposed Sections AA & BB.pdf,['Proposed Section'],
EASTYORKSHIRE_PP-11029937_PT364-PTA-00-ZZ-DR-A-00111_P3_Proposed Sections CC & DD.pdf,['Proposed Section'],
EASTYORKSHIRE_PP-11044227_Poole - Newbald1.pdf,,"scanned image, rotated 90deg"
EASTYORKSHIRE_PP-11044227_Poole - Newbald2.pdf,,"scanned image, rotated 90deg"
